timestamp,run_name,method,mode,category,backbone,seed,knn_k,pca_dim,auroc_image,avg_latency_s,num_test
2026-01-17T22:16:35.311987+00:00,final_multiseed,simclr_knn,global,cable,resnet18,44,5,128,0.7923538230884558,0.0285543155670166,150
2026-01-17T22:16:57.753080+00:00,final_multiseed,simclr_knn,patch,cable,resnet18,44,5,128,0.6225637181409296,0.023155767122904458,150
2026-01-17T22:17:09.711996+00:00,final_multiseed,imagenet_knn,global,hazelnut,resnet18,44,5,128,0.9567857142857144,0.028241107680580833,110
2026-01-17T22:17:21.517428+00:00,final_multiseed,imagenet_knn,patch,hazelnut,resnet18,44,5,128,0.9457142857142857,0.025931152430447666,110
2026-01-17T22:17:33.534787+00:00,final_multiseed,simclr_knn,global,hazelnut,resnet18,44,5,128,0.8346428571428571,0.029903710972179066,110
2026-01-17T22:17:45.316958+00:00,final_multiseed,simclr_knn,patch,hazelnut,resnet18,44,5,128,0.8246428571428571,0.02536584030498158,110
2026-01-17T22:18:08.392529+00:00,final_multiseed,imagenet_knn,global,metal_nut,resnet18,44,5,128,0.767839687194526,0.03234999076179836,115
2026-01-17T22:18:30.411059+00:00,final_multiseed,imagenet_knn,patch,metal_nut,resnet18,44,5,128,0.8626588465298143,0.026917449287746264,115
2026-01-17T22:18:53.035642+00:00,final_multiseed,simclr_knn,global,metal_nut,resnet18,44,5,128,0.7258064516129031,0.03376128155252208,115
2026-01-17T22:19:15.232895+00:00,final_multiseed,simclr_knn,patch,metal_nut,resnet18,44,5,128,0.7927663734115347,0.0268039143603781,115
