category,method,seed,aggregation_rule,image_auroc,image_ap
bottle,autoencoder,123,global_max,0.5083333333333334,0.8049729208903772
bottle,autoencoder,123,percentile_99,0.5075757575757576,0.8038295476330609
bottle,autoencoder,123,percentile_95,0.5045454545454545,0.8018435527027488
bottle,autoencoder,123,top_1_percent_mean,0.5083333333333334,0.8049729208903772
bottle,autoencoder,123,gaussian_pooled_max,0.5106060606060606,0.8052253927386741
bottle,autoencoder,2026,global_max,0.5075757575757576,0.8055179612963338
bottle,autoencoder,2026,percentile_99,0.5083333333333333,0.8061204381976393
bottle,autoencoder,2026,percentile_95,0.509090909090909,0.8062080775395174
bottle,autoencoder,2026,top_1_percent_mean,0.5068181818181818,0.8052694657020936
bottle,autoencoder,2026,gaussian_pooled_max,0.5098484848484848,0.8038938437391011
bottle,autoencoder,42,global_max,0.5196969696969697,0.810737206928462
bottle,autoencoder,42,percentile_99,0.5196969696969697,0.810737206928462
bottle,autoencoder,42,percentile_95,0.5204545454545455,0.8116295323821909
bottle,autoencoder,42,top_1_percent_mean,0.5196969696969697,0.8113428206253481
bottle,autoencoder,42,gaussian_pooled_max,0.5227272727272727,0.8124073327519926
bottle,padim,123,global_max,0.996969696969697,0.9990744469140839
bottle,padim,123,percentile_99,0.996969696969697,0.9990744469140839
bottle,padim,123,percentile_95,0.996969696969697,0.9990744469140839
bottle,padim,123,top_1_percent_mean,0.996969696969697,0.9990744469140839
bottle,padim,123,gaussian_pooled_max,0.996969696969697,0.9990744469140839
bottle,padim,2026,global_max,0.996969696969697,0.9990744469140839
bottle,padim,2026,percentile_99,0.996969696969697,0.9990744469140839
bottle,padim,2026,percentile_95,0.996969696969697,0.9990744469140839
bottle,padim,2026,top_1_percent_mean,0.996969696969697,0.9990744469140839
bottle,padim,2026,gaussian_pooled_max,0.996969696969697,0.9990744469140839
bottle,padim,42,global_max,0.996969696969697,0.9990744469140839
bottle,padim,42,percentile_99,0.996969696969697,0.9990744469140839
bottle,padim,42,percentile_95,0.996969696969697,0.9990744469140839
bottle,padim,42,top_1_percent_mean,0.996969696969697,0.9990744469140839
bottle,padim,42,gaussian_pooled_max,0.9977272727272727,0.9993111893383263
bottle,patchcore,123,global_max,1.0,1.0
bottle,patchcore,123,percentile_99,1.0,1.0
bottle,patchcore,123,percentile_95,1.0,1.0
bottle,patchcore,123,top_1_percent_mean,1.0,1.0
bottle,patchcore,123,gaussian_pooled_max,1.0,1.0
bottle,patchcore,2026,global_max,1.0,1.0
bottle,patchcore,2026,percentile_99,1.0,1.0
bottle,patchcore,2026,percentile_95,1.0,1.0
