category,method,seed,total_flips,total_flip_rate,nominal_relief_count,nominal_relief_rate,defect_escape_count,defect_escape_rate,defect_catch_count,defect_catch_rate,tau_99,tau_cct
bottle,autoencoder,123,1,0.011627906976744186,1,0.05,0,0.0,0,0.0,0.08599507238715885,0.13862480968236923
bottle,autoencoder,2026,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09251175835728642,0.14506711438298225
bottle,autoencoder,42,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09250631202012298,0.14689994230866432
bottle,padim,123,3,0.03488372093023256,1,0.05,2,0.030303030303030304,0,0.0,14.269314498901364,15.484383583068848
bottle,padim,2026,3,0.03488372093023256,1,0.05,2,0.030303030303030304,0,0.0,14.269314680099484,15.484383583068848
bottle,padim,42,3,0.03488372093023256,1,0.05,2,0.030303030303030304,0,0.0,14.269314498901364,15.484382629394531
bottle,patchcore,123,1,0.011627906976744186,1,0.05,0,0.0,0,0.0,1.413361542224884,1.7656351327896118
bottle,patchcore,2026,1,0.011627906976744186,1,0.05,0,0.0,0,0.0,1.413361542224884,1.7656351327896118
bottle,patchcore,42,1,0.011627906976744186,1,0.05,0,0.0,0,0.0,1.413361542224884,1.7656351327896118
cable,autoencoder,123,1,0.006666666666666667,1,0.017241379310344827,0,0.0,0,0.0,0.42498418882489203,0.4427787810564041
cable,autoencoder,2026,2,0.013333333333333334,1,0.017241379310344827,1,0.010869565217391304,0,0.0,0.4144704327732325,0.4346544383263588
cable,autoencoder,42,1,0.006666666666666667,1,0.017241379310344827,0,0.0,0,0.0,0.42519120179116726,0.4541301801800728
cable,padim,123,7,0.04666666666666667,1,0.017241379310344827,6,0.06521739130434782,0,0.0,18.584247035980223,19.930871963500977
cable,padim,2026,7,0.04666666666666667,1,0.017241379310344827,6,0.06521739130434782,0,0.0,18.584247035980223,19.930871963500977
cable,padim,42,7,0.04666666666666667,1,0.017241379310344827,6,0.06521739130434782,0,0.0,18.584247035980223,19.930871963500977
cable,patchcore,123,2,0.013333333333333334,1,0.017241379310344827,1,0.010869565217391304,0,0.0,2.3872072958946227,2.411566972732544
cable,patchcore,2026,2,0.013333333333333334,1,0.017241379310344827,1,0.010869565217391304,0,0.0,2.3872072958946227,2.411566972732544
cable,patchcore,42,2,0.013333333333333334,1,0.017241379310344827,1,0.010869565217391304,0,0.0,2.3872072958946227,2.411566972732544
carpet,autoencoder,123,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,0.09381805747747421,0.09555687328636646
carpet,autoencoder,2026,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,0.09261351075023413,0.09498324749827385
carpet,autoencoder,42,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,0.0923148924857378,0.09419408572673797
carpet,padim,123,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097465515137,11.88878059387207
carpet,padim,2026,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.88878059387207
carpet,padim,42,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.888781547546387
carpet,patchcore,123,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041877841949463,1.3121007680892944
carpet,patchcore,2026,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
carpet,patchcore,42,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
hazelnut,autoencoder,123,1,0.00909090909090909,1,0.025,0,0.0,0,0.0,0.03768457885831594,0.038920680060982704
hazelnut,autoencoder,2026,1,0.00909090909090909,1,0.025,0,0.0,0,0.0,0.03568795464932918,0.036272152327001095
hazelnut,autoencoder,42,1,0.00909090909090909,1,0.025,0,0.0,0,0.0,0.036478609880432486,0.037532804533839226
hazelnut,padim,123,1,0.00909090909090909,1,0.025,0,0.0,0,0.0,25.51419395446777,27.681543350219727
hazelnut,padim,2026,1,0.00909090909090909,1,0.025,0,0.0,0,0.0,25.51419395446777,27.681541442871094
hazelnut,padim,42,1,0.00909090909090909,1,0.025,0,0.0,0,0.0,25.514192790985106,27.681543350219727
hazelnut,patchcore,123,1,0.00909090909090909,1,0.025,0,0.0,0,0.0,2.121971514225006,2.355848789215088
hazelnut,patchcore,2026,1,0.00909090909090909,1,0.025,0,0.0,0,0.0,2.121971514225006,2.355848789215088
hazelnut,patchcore,42,1,0.00909090909090909,1,0.025,0,0.0,0,0.0,2.1241589164733887,2.3741707801818848
