num_patches_N,feature_dim_D,target_coreset_M,time_cpu_sec,time_gpu_unbatched_sec,time_gpu_batched_sec,speedup_vs_cpu,speedup_unbatched_vs_cpu,peak_vram_mb
1000,64,100,0.005460087995743379,0.019875661004334688,1.7259152290062048,0.003163589905216457,0.2747122721882098,1.208984375
5000,64,500,0.15930393297458068,0.0792182570148725,0.007782394997775555,20.46978250527178,2.010949735294893,6.06396484375
10000,64,1000,0.7102790460048709,0.1189747600001283,0.006722883001202717,105.65096044030554,5.9699977205594275,12.10986328125
25000,64,2500,5.65625,0.38642905399319716,0.03811611398123205,148.39524309285764,14.637227562344664,30.94482421875
50000,64,5000,22.625,1.3416407864998738,0.10453104399493895,216.44287797503895,16.863679330310912,62.3310546875
1000,128,100,0.01635657699080184,0.019085877982433885,0.0014804840029682964,11.04812815133951,0.8569989290435568,1.46484375
5000,128,500,0.41002843002206646,0.14999874000204727,0.009396683017257601,43.635443407958256,2.733545828561428,7.296875
10000,128,1000,1.7340106900082901,0.24064619798446074,0.013111842010403052,132.2476802750148,7.205643407340516,15.09716796875
25000,128,2500,11.3125,0.7798632089979947,0.023959256010130048,472.1557295108429,14.505749046085707,37.7578125
50000,128,5000,45.25,1.3416407864998738,0.08592732599936426,526.6077987849266,33.727358660621825,74.55029296875
1000,256,100,0.018412903998978436,0.011039684992283583,0.01858100199024193,0.9909532332351197,1.6678830973753795,1.97705078125
5000,256,500,0.7560936129884794,0.05721673401421867,0.0030071199871599674,251.43446760252542,13.21455385413271,9.78515625
10000,256,1000,3.5531494159949943,0.3998182739887852,0.007403789000818506,479.9095997471275,8.886910997206343,19.56982421875
25000,256,2500,22.625,1.8747651889862027,0.024893867986975238,908.8583586864711,12.068177995258536,49.5205078125
50000,256,5000,90.5,1.3416407864998738,0.09752178398775868,927.9977898205791,67.45471732124365,98.98876953125
