category,method,tpr_at_5_mean,tpr_at_5_ci_low,tpr_at_5_ci_high,tpr_at_10_mean,tpr_at_10_ci_low,tpr_at_10_ci_high,md_at_1k_mean,md_at_1k_ci_low,md_at_1k_ci_high,fa_at_1k_mean,cwe_r10_mean,cwe_r10_ci_low,cwe_r10_ci_high,overload_prob_mean
bottle,autoencoder,0.06565656565656565,0.06060606060606061,0.07575757575757576,0.0707070707070707,0.06060606060606061,0.07575757575757576,929.2929292929293,924.2424242424244,939.3939393939395,50.0,7.1434108527131785,7.104651162790698,7.22093023255814,0.03333333333333333
bottle,padim,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9696969696969697,0.9696969696969697,0.9696969696969697,30.3030303030303,30.3030303030303,30.3030303030303,50.0,0.2441860465116279,0.2441860465116279,0.2441860465116279,0.5333333333333333
bottle,patchcore,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,50.0,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.3666666666666667
cable,autoencoder,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,989.1304347826086,989.1304347826086,989.1304347826086,17.241379310344826,6.073333333333333,6.073333333333333,6.073333333333333,0.0
cable,padim,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.25,0.25,0.25,750.0,750.0,750.0,17.241379310344826,4.6066666666666665,4.6066666666666665,4.6066666666666665,0.0
cable,patchcore,0.8586956521739131,0.8586956521739131,0.8586956521739131,0.8695652173913043,0.8695652173913043,0.8695652173913043,130.43478260869566,130.43478260869566,130.43478260869566,17.241379310344826,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.0
carpet,autoencoder,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,35.714285714285715,7.615384615384616,7.615384615384616,7.615384615384616,0.0
carpet,padim,0.797752808988764,0.797752808988764,0.797752808988764,0.8089887640449437,0.8089887640449437,0.8089887640449437,191.01123595505615,191.01123595505615,191.01123595505615,35.714285714285715,1.4615384615384615,1.4615384615384615,1.4615384615384615,0.0
carpet,patchcore,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550561797752809,44.9438202247191,44.9438202247191,44.9438202247191,35.714285714285715,0.35042735042735035,0.35042735042735035,0.35042735042735035,0.0
hazelnut,autoencoder,0.3523809523809524,0.3428571428571428,0.35714285714285715,0.3523809523809524,0.3428571428571428,0.35714285714285715,647.6190476190476,642.8571428571429,657.1428571428571,25.0,4.13030303030303,4.1,4.1909090909090905,0.0
hazelnut,padim,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,928.5714285714286,928.5714285714286,928.5714285714286,25.0,5.918181818181818,5.918181818181818,5.918181818181818,0.0
hazelnut,patchcore,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,14.285714285714285,14.285714285714285,14.285714285714285,25.0,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.0
metal_nut,autoencoder,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,45.45454545454546,8.095652173913043,8.095652173913043,8.095652173913043,0.0
metal_nut,padim,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6344086021505376,0.6344086021505376,0.6344086021505376,365.59139784946245,365.59139784946245,365.59139784946245,45.45454545454546,2.965217391304348,2.965217391304348,2.965217391304348,0.13333333333333333
metal_nut,patchcore,0.978494623655914,0.978494623655914,0.978494623655914,0.978494623655914,0.978494623655914,0.978494623655914,21.505376344086027,21.505376344086027,21.505376344086027,45.45454545454546,0.18260869565217389,0.18260869565217389,0.18260869565217389,0.10000000000000002
