category,method,image_auroc_mean,image_auroc_std,aupro_mean,aupro_std,pixel_auroc_mean,pixel_auroc_std,mrd_mean,mrd_std,p50_model_ms,p50_e2e_ms,fps_model,fps_e2e,peak_vram_mb
bottle,autoencoder,0.5053030303030303,0.007575757575757611,0.46150111512044417,0.007306645508871552,0.7081240528276219,0.03783518241837251,-0.1260521885521885,0.027252877851705628,4.796042601267497,24.531840006510418,208.8628428826166,40.7875407864774,214.95393880208334
bottle,padim,0.996969696969697,0.0,0.8666230941943658,1.4881771689987863e-08,0.9547843974370874,5.273435888827196e-11,0.09771324354657686,0.0024818568336134584,6.248810609181722,25.634090423583984,160.3039721139351,39.07365073179443,298.2517903645833
bottle,patchcore,1.0,0.0,0.8724852269979366,1.1130188772033255e-08,0.9616531649847054,4.944342157925288e-11,0.0283529741863075,0.0006842731985553959,10.93835735321045,29.887083053588867,91.4703732750409,33.48868545903101,205.86637369791666
cable,autoencoder,0.45158670664667655,0.004675151734649662,0.38099421222189983,0.027651238081049908,0.5709425967915802,0.019530280470999563,-0.01925426175800987,0.004278645999174012,6.077493508656819,40.01736577351888,164.60413214512354,24.99077017740049,216.271484375
cable,padim,0.8616941529235382,0.0,0.9075861924035914,2.6585998459800106e-08,0.9683206127786104,2.363270779507553e-10,0.023776306291298763,0.0004221886992678726,5.954346656799316,40.0175895690918,167.96561571853317,25.00613967726785,300.29345703125
cable,patchcore,0.990254872563718,0.0,0.9427350562940514,9.773936144041103e-08,0.985796031342852,8.084823458050094e-08,0.053542673107890466,0.0002518913780835481,11.518112182617188,44.494537353515625,86.8501597476016,22.482509824458955,218.783203125
carpet,autoencoder,0.3904494382022472,0.005216693418940543,0.45229625763629794,0.020525960292504263,0.7588368192328175,0.00932245608984257,-0.028401997503121067,0.011516367140695446,5.831882794698079,38.63965861002604,171.88588001305484,25.882912110213812,214.87060546875
carpet,padim,0.9638844301765651,0.0,0.9549185945650608,2.7869180824541066e-09,0.9873612219283682,8.48760159170204e-11,0.07453480768087506,0.0012072191765235593,6.468682765960693,38.734762827555336,154.71350247017878,25.818359099978583,309.1318359375
carpet,patchcore,0.984349919743178,0.0,0.9492235297782252,0.0,0.9896096983632092,0.0,0.03781731169371607,0.0004347720847842143,12.818954785664877,45.666369120279946,78.03496634117978,21.914416162562855,258.07373046875
hazelnut,autoencoder,0.7353571428571429,0.04763675266096159,0.9000085257104464,0.012722387683620164,0.9766034296584635,0.005038211916615128,-0.021712962962962934,0.013270151187173585,6.150474548339844,36.1341667175293,162.6398743078607,27.67567304050984,214.87060546875
hazelnut,padim,0.8403571428571427,0.0,0.9041818667067952,3.4439263847822398e-09,0.9828758827627565,1.4521938765235915e-10,-0.011789021164021167,0.0033380590163382,6.321749210357666,37.3419303894043,158.99855838092864,26.78405836044222,325.53125
hazelnut,patchcore,0.9996428571428572,0.0,0.9188288492544124,7.444083974133478e-10,0.987050966341109,7.318143865371567e-11,0.0046164021164021,2.2910724967818974e-05,16.355818430582683,47.14715703328451,61.16439209020486,21.221011471525923,336.84033203125
metal_nut,autoencoder,0.30465949820788524,0.05009556615725565,0.3649647833789738,0.07853642640302301,0.6299680159591967,0.1109664570493008,-0.08101625574743847,0.05024449794235627,4.363839944203694,20.146624247233074,229.73027772866655,49.64200463818944,215.37060546875
metal_nut,padim,0.9711632453567937,0.0,0.9172902344758515,4.476192319024858e-08,0.9691914884559463,3.059204153303077e-10,0.14412946671011173,0.003929911604274865,6.367989222208659,21.884533564249676,158.75225757741484,45.72929039318723,299.6943359375
metal_nut,patchcore,0.9960899315738024,0.0,0.9371273546168805,0.0,0.984011070843615,0.0,0.060361681329423204,0.0006488434422367955,11.60809580485026,26.694186528523762,86.31304798493163,37.480023897305266,215.97998046875
