category,method,tpr_at_5_mean,tpr_at_5_ci_low,tpr_at_5_ci_high,tpr_at_10_mean,tpr_at_10_ci_low,tpr_at_10_ci_high,md_at_1k_mean,md_at_1k_ci_low,md_at_1k_ci_high,fa_at_1k_mean,cwe_r10_mean,cwe_r10_ci_low,cwe_r10_ci_high,overload_prob_mean
bottle,autoencoder,0.06565656565656565,0.04038033984047102,0.24123519043001976,0.0707070707070707,0.0707070707070707,0.0707070707070707,929.2929292929293,755.7803540827839,955.4423753381737,50.0,7.1434108527131785,5.790600775193799,7.508333333333334,0.10000000000000002
bottle,padim,0.9545454545454546,0.9322590645801331,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,30.3030303030303,0.0,66.56640208900461,50.0,0.2441860465116279,0.011627906976744186,0.5271317829457364,0.4666666666666666
bottle,patchcore,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,50.0,0.011627906976744186,0.011627906976744186,0.031007751937984496,0.43333333333333335
cable,autoencoder,0.010869565217391304,0.0,0.042204776110938313,0.010869565217391304,0.010869565217391304,0.010869565217391304,989.1304347826086,952.3934364628448,1000.0,17.241379310344826,6.073333333333333,5.588888888888889,6.473388888888889,0.0
cable,padim,0.21739130434782608,0.17136563869438412,0.41208254515271325,0.25,0.25,0.25,750.0,560.5270745752209,820.0011374031891,17.241379310344826,4.6066666666666665,3.4327777777777784,5.057777777777777,0.0
cable,patchcore,0.8586956521739131,0.8353998757888561,0.9346101240076697,0.8695652173913043,0.8695652173913043,0.8695652173913043,130.43478260869566,59.47033747597323,162.05062246913582,17.241379310344826,0.8066666666666666,0.3861111111111116,0.9911111111111112,0.0
carpet,autoencoder,0.0,0.0,0.025369286510590852,0.0,0.0,0.0,1000.0,974.3518518518517,1000.0,35.714285714285715,7.615384615384616,7.108262108262108,8.017094017094017,0.0
carpet,padim,0.797752808988764,0.7626301283096228,0.9073283406317585,0.8089887640449437,0.8089887640449437,0.8089887640449437,191.01123595505615,89.435765296716,228.29373690480213,35.714285714285715,1.4615384615384615,0.7007122507122509,1.755128205128205,0.0
carpet,patchcore,0.9550561797752809,0.9306950545802933,0.9775672169692506,0.9550561797752809,0.9550561797752809,0.9550561797752809,44.9438202247191,22.432783030749345,69.30494541970658,35.714285714285715,0.35042735042735035,0.1851851851851852,0.5527065527065527,0.0
grid,autoencoder,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.333333333333336,0.009523809523809525,0.009523809523809525,0.0253968253968254,0.0
grid,padim,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.333333333333336,0.009523809523809525,0.009523809523809525,0.0253968253968254,0.0
grid,patchcore,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.333333333333336,0.009523809523809525,0.009523809523809525,0.0253968253968254,0.0
hazelnut,autoencoder,0.3523809523809524,0.29949737690607336,0.44042422334609826,0.3523809523809524,0.3523809523809524,0.3523809523809524,647.6190476190476,557.8983281725008,699.1099408027133,25.0,4.13030303030303,3.4665909090909093,4.618181818181818,0.0
hazelnut,padim,0.07142857142857142,0.04691457048255506,0.20940846133419333,0.07142857142857142,0.07142857142857142,0.07142857142857142,928.5714285714286,779.5814627481426,951.7235465319883,25.0,5.918181818181818,4.836287878787879,6.31219696969697,0.0
hazelnut,patchcore,0.9857142857142858,0.9743197745516117,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,14.285714285714285,0.0,23.937115030465417,25.0,0.10000000000000002,0.00909090909090909,0.16363636363636364,0.0
leather,autoencoder,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.333333333333336,0.009523809523809525,0.009523809523809525,0.0253968253968254,0.0
leather,padim,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.333333333333336,0.009523809523809525,0.009523809523809525,0.0253968253968254,0.0
leather,patchcore,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.333333333333336,0.009523809523809525,0.009523809523809525,0.0253968253968254,0.0
metal_nut,autoencoder,0.0,0.0,0.017926016830294524,0.0,0.0,0.0,1000.0,981.8840579710145,1000.0,45.45454545454546,8.095652173913043,7.640507246376811,8.501449275362319,0.0
metal_nut,padim,0.6021505376344086,0.552314367228793,0.9351997814456827,0.6344086021505376,0.6344086021505376,0.6344086021505376,365.59139784946245,61.492633887231456,432.5163102289896,45.45454545454546,2.965217391304348,0.5071014492753625,3.5478260869565212,0.06666666666666667
metal_nut,patchcore,0.978494623655914,0.9636247433537058,0.9965277777777778,0.978494623655914,0.978494623655914,0.978494623655914,21.505376344086027,3.367003367003367,34.907490022623854,45.45454545454546,0.18260869565217389,0.03768115942028986,0.2985507246376812,0.13333333333333333
