method,runtime_sec,speedup_vs_cpu,peak_vram_mb,coverage_radius
cpu_sequential_greedy,1.5821375859959517,1.0,0.0,14.933907508850098
gpu_unbatched_greedy,0.12006251799175516,13.17761456664268,14.76416015625,14.92479133605957
gpu_batched_vectorized,0.00806023200857453,196.289335631141,14.5634765625,14.9246826171875
random_subsampling,0.0005256379954516888,3009.937637092609,0.0,15.37020492553711
