category,method,seed,tau_q99,fa_q99,md_q99,cwe_q99_r10,cwe_q99_r20,cwe_q99_r50,tau_b5,fa_b5,md_b5,cwe_b5_r10,cwe_b5_r20,cwe_b5_r50,tau_cct_r10,fa_cct_r10,md_cct_r10,cwe_cct_r10,cwe_cct_r20,cwe_cct_r50,tau_oracle,fa_oracle,md_oracle,cwe_oracle_r10
grid,padim,123,5.380902967453003,266.6666666666667,0.0,0.264,0.264,0.264,5.388635020256042,266.6666666666667,0.0,0.264,0.264,0.264,25.15265464782715,0.0,52.63157894736842,0.005263157894736842,0.010526315789473684,0.02631578947368421,24.701988220214844,0.0,0.0,7.169811320754717
grid,padim,2026,5.647627506256104,133.33333333333334,0.0,0.132,0.132,0.132,5.66807897567749,133.33333333333334,0.0,0.132,0.132,0.132,25.15265464782715,0.0,52.63157894736842,0.005263157894736842,0.010526315789473684,0.02631578947368421,24.701988220214844,0.0,0.0,7.169811320754717
grid,padim,42,5.752965526580811,66.66666666666667,0.0,0.066,0.066,0.066,5.765816488265991,66.66666666666667,0.0,0.066,0.066,0.066,24.701988220214844,0.0,0.0,0.0,0.0,0.0,25.681669235229492,0.0,0.0,7.169811320754717
grid,patchcore,123,0.6262994563579559,0.0,0.0,0.0,0.0,0.0,0.6275738555192948,0.0,0.0,0.0,0.0,0.0,2.49726939201355,0.0,0.0,0.0,0.0,0.0,2.552581548690796,0.0,0.0,7.169811320754717
grid,patchcore,2026,0.6077480518817902,66.66666666666667,0.0,0.066,0.066,0.066,0.6091953021287918,66.66666666666667,0.0,0.066,0.066,0.066,2.49726939201355,0.0,0.0,0.0,0.0,0.0,2.552581548690796,0.0,0.0,7.169811320754717
grid,patchcore,42,0.6075434494018555,66.66666666666667,0.0,0.066,0.066,0.066,0.6090930008888245,66.66666666666667,0.0,0.066,0.066,0.066,2.552581548690796,0.0,26.31578947368421,0.002631578947368421,0.005263157894736842,0.013157894736842105,2.49726939201355,0.0,0.0,7.169811320754717
hazelnut,autoencoder,123,0.035072985743172455,100.0,628.5714285714286,0.16185714285714287,0.22471428571428573,0.41328571428571426,0.0357847403199412,100.0,657.1428571428571,0.16471428571428573,0.23042857142857145,0.4275714285714286,0.04119460191577673,0.0,742.8571428571429,0.07428571428571429,0.14857142857142858,0.37142857142857144,0.016583214048296213,750.0,0.0,0.0
hazelnut,autoencoder,2026,0.033183507332578285,100.0,628.5714285714286,0.16185714285714287,0.22471428571428573,0.41328571428571426,0.03412854657042773,100.0,657.1428571428571,0.16471428571428573,0.23042857142857145,0.4275714285714286,0.03526512812823057,5.0,657.1428571428571,0.11521428571428573,0.18092857142857144,0.37807142857142856,0.016306602396070957,750.0,0.0,0.0
hazelnut,autoencoder,42,0.02571040935348719,300.0,314.2857142857143,0.3284285714285714,0.3598571428571429,0.4541428571428571,0.02579965062206611,300.0,314.2857142857143,0.3284285714285714,0.3598571428571429,0.4541428571428571,0.025992770213633776,5.0,314.2857142857143,0.3284285714285714,0.3598571428571429,0.4541428571428571,0.01654314761981368,800.0,0.0,0.0
hazelnut,padim,123,26.614258041381827,0.0,885.7142857142857,0.08857142857142856,0.17714285714285713,0.44285714285714284,27.13678848266602,0.0,885.7142857142857,0.08857142857142856,0.17714285714285713,0.44285714285714284,27.681543350219727,0.0,885.7142857142857,0.08857142857142856,0.17714285714285713,0.44285714285714284,14.93641185760498,250.0,28.57142857142857,6.363636363636363
hazelnut,padim,2026,21.995927066802977,50.0,828.5714285714287,0.13235714285714287,0.21521428571428575,0.46378571428571436,22.07746277809143,50.0,828.5714285714287,0.13235714285714287,0.21521428571428575,0.46378571428571436,23.593963623046875,5.0,914.2857142857142,0.14092857142857146,0.23235714285714287,0.5066428571428572,14.463387489318848,400.0,57.14285714285714,6.363636363636363
hazelnut,padim,42,21.093522377014153,100.0,828.5714285714287,0.18185714285714288,0.26471428571428574,0.5132857142857143,21.62626043319703,50.0,828.5714285714287,0.13235714285714287,0.21521428571428575,0.46378571428571436,22.37727928161621,5.0,857.1428571428571,0.13521428571428573,0.22092857142857142,0.4780714285714286,13.984203338623047,400.0,28.57142857142857,6.363636363636363
hazelnut,patchcore,123,2.1318230175971986,0.0,0.0,0.0,0.0,0.0,2.1365024816989897,0.0,0.0,0.0,0.0,0.0,2.355848789215088,0.0,0.0,0.0,0.0,0.0,2.383164644241333,0.0,0.0,6.363636363636363
hazelnut,patchcore,2026,2.087806611061096,50.0,0.0,0.0495,0.0495,0.0495,2.089865520000458,50.0,0.0,0.0495,0.0495,0.0495,2.383164644241333,0.0,57.14285714285714,0.005714285714285715,0.01142857142857143,0.028571428571428574,2.112178325653076,50.0,0.0,6.363636363636363
hazelnut,patchcore,42,2.075446523427963,50.0,0.0,0.0495,0.0495,0.0495,2.085602123141289,50.0,0.0,0.0495,0.0495,0.0495,2.112177848815918,5.0,0.0,0.0495,0.0495,0.0495,2.3741707801818848,0.0,0.0,6.363636363636363
leather,autoencoder,123,0.02007650149986148,0.0,0.0,0.0,0.0,0.0,0.02008220871910453,0.0,0.0,0.0,0.0,0.0,0.023261453490704298,0.0,26.31578947368421,0.002631578947368421,0.005263157894736842,0.013157894736842105,0.023121279664337635,0.0,0.0,0.0
leather,autoencoder,2026,0.019499619733542205,133.33333333333334,0.0,0.132,0.132,0.132,0.019503115098923444,133.33333333333334,0.0,0.132,0.132,0.132,0.022675298620015383,0.0,26.31578947368421,0.002631578947368421,0.005263157894736842,0.013157894736842105,0.02231814106926322,0.0,0.0,0.0
leather,autoencoder,42,0.019514199402183293,133.33333333333334,0.0,0.132,0.132,0.132,0.01951506294310093,133.33333333333334,0.0,0.132,0.132,0.132,0.023331398144364357,0.0,26.31578947368421,0.002631578947368421,0.005263157894736842,0.013157894736842105,0.02295656083151698,0.0,0.0,0.0
leather,padim,123,8.584634017944335,66.66666666666667,0.0,0.066,0.066,0.066,8.611094570159912,66.66666666666667,0.0,0.066,0.066,0.066,25.907594680786133,0.0,236.8421052631579,0.023684210526315787,0.047368421052631574,0.11842105263157893,24.192276000976562,0.0,0.0,7.169811320754717
leather,padim,2026,8.783710899353027,0.0,0.0,0.0,0.0,0.0,8.795607299804688,0.0,0.0,0.0,0.0,0.0,25.0192813873291,0.0,26.31578947368421,0.002631578947368421,0.005263157894736842,0.013157894736842105,24.192276000976562,0.0,0.0,7.169811320754717
leather,padim,42,8.584634838104249,66.66666666666667,0.0,0.066,0.066,0.066,8.611095457077026,66.66666666666667,0.0,0.066,0.066,0.066,24.192276000976562,0.0,0.0,0.0,0.0,0.0,25.11823844909668,0.0,0.0,7.169811320754717
leather,patchcore,123,0.9832763493061065,0.0,0.0,0.0,0.0,0.0,0.9876992017030716,0.0,0.0,0.0,0.0,0.0,2.9551868438720703,0.0,0.0,0.0,0.0,0.0,3.0527219772338867,0.0,0.0,7.169811320754717
leather,patchcore,2026,0.9834756195545196,0.0,0.0,0.0,0.0,0.0,0.9877988368272781,0.0,0.0,0.0,0.0,0.0,3.0527219772338867,0.0,26.31578947368421,0.002631578947368421,0.005263157894736842,0.013157894736842105,2.9551868438720703,0.0,0.0,7.169811320754717
leather,patchcore,42,0.9805451536178589,0.0,0.0,0.0,0.0,0.0,0.9863336038589477,0.0,0.0,0.0,0.0,0.0,3.0527219772338867,0.0,26.31578947368421,0.002631578947368421,0.005263157894736842,0.013157894736842105,2.9551868438720703,0.0,0.0,7.169811320754717
metal_nut,autoencoder,123,0.09087263569235803,90.9090909090909,1000.0,0.19,0.29000000000000004,0.59,0.09129294082522392,90.9090909090909,1000.0,0.19,0.29000000000000004,0.59,0.09205489605665207,5.0,1000.0,0.19,0.29000000000000004,0.59,0.034154451452195644,1000.0,0.0,0.0
metal_nut,autoencoder,2026,0.09622385129332543,0.0,1000.0,0.1,0.2,0.5,0.09695954602211712,0.0,1000.0,0.1,0.2,0.5,0.09695954602211712,0.0,1000.0,0.1,0.2,0.5,0.036519053392112255,1000.0,0.0,0.0
metal_nut,autoencoder,42,0.0852308364585042,181.8181818181818,978.7234042553191,0.2778723404255319,0.37574468085106383,0.6693617021276596,0.08546545905992388,181.8181818181818,978.7234042553191,0.2778723404255319,0.37574468085106383,0.6693617021276596,0.08612595871090889,5.0,978.7234042553191,0.2778723404255319,0.37574468085106383,0.6693617021276596,0.03355215582996607,1000.0,0.0,0.0
metal_nut,padim,123,12.621092414855957,90.9090909090909,63.82978723404255,0.09638297872340425,0.10276595744680851,0.12191489361702126,12.65493755340576,90.9090909090909,63.82978723404255,0.09638297872340425,0.10276595744680851,0.12191489361702126,12.769058227539062,5.0,63.82978723404255,0.09638297872340425,0.10276595744680851,0.12191489361702126,12.166404724121094,90.9090909090909,21.27659574468085,8.10344827586207
metal_nut,padim,2026,12.621091651916505,90.9090909090909,42.5531914893617,0.09425531914893617,0.09851063829787234,0.11127659574468085,12.654936695098877,90.9090909090909,42.5531914893617,0.09425531914893617,0.09851063829787234,0.11127659574468085,12.851587295532227,5.0,63.82978723404255,0.09638297872340425,0.10276595744680851,0.12191489361702126,12.20286750793457,90.9090909090909,21.27659574468085,8.10344827586207
metal_nut,padim,42,12.567430305480958,90.9090909090909,127.6595744680851,0.10276595744680851,0.11553191489361701,0.15382978723404256,12.628106021881102,90.9090909090909,127.6595744680851,0.10276595744680851,0.11553191489361701,0.15382978723404256,12.851587295532227,5.0,148.93617021276594,0.10489361702127659,0.11978723404255319,0.16446808510638297,12.166403770446777,90.9090909090909,42.5531914893617,8.10344827586207
metal_nut,patchcore,123,1.9871737957000732,0.0,21.27659574468085,0.002127659574468085,0.00425531914893617,0.010638297872340425,1.99193674325943,0.0,21.27659574468085,0.002127659574468085,0.00425531914893617,0.010638297872340425,1.9981238842010498,0.0,21.27659574468085,0.002127659574468085,0.00425531914893617,0.010638297872340425,1.9690507650375366,0.0,0.0,8.10344827586207
metal_nut,patchcore,2026,1.8859339594841005,90.9090909090909,21.27659574468085,0.09212765957446808,0.09425531914893617,0.10063829787234042,1.8936873495578765,90.9090909090909,21.27659574468085,0.09212765957446808,0.09425531914893617,0.10063829787234042,2.1558940410614014,0.0,106.38297872340425,0.010638297872340425,0.02127659574468085,0.05319148936170213,1.8138715028762817,181.8181818181818,0.0,8.10344827586207
metal_nut,patchcore,42,1.7749008417129517,272.7272727272727,0.0,0.26999999999999996,0.26999999999999996,0.26999999999999996,1.7767114281654357,272.7272727272727,0.0,0.26999999999999996,0.26999999999999996,0.26999999999999996,1.8138715028762817,5.0,0.0,0.26999999999999996,0.26999999999999996,0.26999999999999996,1.9690507650375366,90.9090909090909,0.0,8.10344827586207
