num_patches_N,feature_dim_D,target_coreset_M,time_cpu_sec,time_gpu_unbatched_sec,time_gpu_batched_sec,speedup_vs_cpu,speedup_unbatched_vs_cpu,peak_vram_mb
1000,64,100,0.00807216699467972,0.016903923999052495,0.005981385998893529,1.3495479135058253,0.4775321395867719,1.3310546875
5000,64,500,0.14876840700162575,0.05945476400665939,0.04230459395330399,3.5166016997075307,2.5022117148587544,6.18603515625
10000,64,1000,0.7960347749758512,0.24727675202302635,0.015505703981034458,51.3381898654526,3.219205883542682,12.23193359375
25000,64,2500,5.65625,0.62463078397559,0.027729829016607255,203.9770961664603,9.055349408173006,31.06689453125
50000,64,5000,22.625,1.3416407864998738,0.11042366101173684,204.8926814480024,16.863679330310912,62.453125
1000,128,100,0.00900790496962145,0.012190884968731552,0.0010220289696007967,8.81374720047312,0.7389049271423576,1.5869140625
5000,128,500,0.31630014500115067,0.09617496398277581,0.002913505013566464,108.5634462711849,3.2887992041026144,7.4189453125
10000,128,1000,1.7699867620249279,0.2892923050094396,0.011622824997175485,152.28541791303408,6.118333365165635,15.21923828125
25000,128,2500,11.3125,0.8423360330052674,0.03492925700265914,323.868898761253,13.429913427352169,37.8798828125
50000,128,5000,45.25,1.3416407864998738,0.08885089098475873,509.2802052796755,33.727358660621825,74.67236328125
1000,256,100,0.020038244023453444,0.014463778003118932,0.007370853971224278,2.7185783494941695,1.3854087098911811,2.09912109375
5000,256,500,1.0028630350134335,0.08427746000234038,0.003186338988598436,314.73833719574185,11.899540339559167,9.9072265625
10000,256,1000,3.6694502079626545,0.3731128870276734,0.006600689957849681,555.9191889627941,9.834691685925325,19.69189453125
25000,256,2500,22.625,1.887620385037735,0.026395171997137368,857.1643330247572,11.985990498586244,49.642578125
50000,256,5000,90.5,1.3416407864998738,0.10353008500533178,874.1420428210723,67.45471732124365,99.11083984375
