category,method,seed,cost_ratio,image_auroc,cwe,total_flips,total_flip_rate,nominal_relief_count,nominal_relief_rate,defect_escape_count,defect_escape_rate,defect_catch_count,defect_catch_rate,tau_99,tau_cct
bottle,autoencoder,123,5.0,0.5083333333333334,3.604651162790698,1,0.011627906976744186,1,0.05,0,0.0,0,0.0,0.08599507238715885,0.13862480968236923
bottle,autoencoder,123,10.0,0.5083333333333334,7.209302325581396,1,0.011627906976744186,1,0.05,0,0.0,0,0.0,0.08599507238715885,0.13862480968236923
bottle,autoencoder,123,20.0,0.5083333333333334,14.418604651162791,1,0.011627906976744186,1,0.05,0,0.0,0,0.0,0.08599507238715885,0.13862480968236923
bottle,autoencoder,123,50.0,0.5083333333333334,36.04651162790697,1,0.011627906976744186,1,0.05,0,0.0,0,0.0,0.08599507238715885,0.13862480968236923
bottle,autoencoder,2026,5.0,0.5068181818181818,3.604651162790698,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09251175835728642,0.14506711438298225
bottle,autoencoder,2026,10.0,0.5068181818181818,7.209302325581396,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09251175835728642,0.14506711438298225
bottle,autoencoder,2026,20.0,0.5068181818181818,14.418604651162791,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09251175835728642,0.14506711438298225
bottle,autoencoder,2026,50.0,0.5068181818181818,36.04651162790697,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09251175835728642,0.14506711438298225
bottle,autoencoder,42,5.0,0.5189393939393939,3.604651162790698,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09250631202012298,0.14689994230866432
bottle,autoencoder,42,10.0,0.5189393939393939,7.209302325581396,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09250631202012298,0.14689994230866432
bottle,autoencoder,42,20.0,0.5189393939393939,14.418604651162791,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09250631202012298,0.14689994230866432
bottle,autoencoder,42,50.0,0.5189393939393939,36.04651162790697,2,0.023255813953488372,1,0.05,1,0.015151515151515152,0,0.0,0.09250631202012298,0.14689994230866432
bottle,padim,123,5.0,0.996969696969697,0.23255813953488372,3,0.03488372093023256,1,0.05,2,0.030303030303030304,0,0.0,14.269314498901364,15.484383583068848
bottle,padim,123,10.0,0.996969696969697,0.46511627906976744,3,0.03488372093023256,1,0.05,2,0.030303030303030304,0,0.0,14.269314498901364,15.484383583068848
